parent_planet,name,rel_pos_x_m,rel_pos_y_m,rel_vel_x_ms,rel_vel_y_ms,mass_kg,radius_px,color_r,color_g,color_b
Earth,Moon,152052360.5713538,-348803666.5045074,932.6235215333674,446.4924677661432,7.342e+22,2,128,128,128
Mars,Deimos,20675050.298901238,6870265.69831851,-327.96234811387126,1288.7441888228907,1476200000000000.0,1,140,140,130
Jupiter,Io,-331767223.36337745,-259727144.37415397,10642.81742908924,-13692.017932415147,8.9319e+22,3,255,230,100
Saturn,Titan,1102993626.211741,348546047.6205249,-2026.7062833183684,4822.398777062812,1.3452e+23,4,255,200,120
Uranus,Titania,221409733.96176368,-99054765.75685017,2000.229123884474,4465.12939085012727,3.527e+21,2,200,190,180
Neptune,Triton,-285256958.1283402,-204795584.29819435,-1243.526144848821,2555.60545126095,2.139e+22,3,200,200,220
